states,words,logit_seq,reset_bool,ind_seq,state_list_sm
[ 0.9906749  -0.47396618],0,[-5.4961886  6.3922653],0,0,[0.00000687 0.99999313]
[ 0.9771764 -0.2532084],1,[-4.7433367  5.7705173],0,0,[0.00002716 0.99997284]
[ 0.9775241  -0.03096699],1,[-4.0416517  5.2178826],0,0,[0.00009519 0.99990481]
[0.9719929  0.24037898],1,[-3.1609013  4.5118227],0,1,[0.00046513 0.99953487]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.5711784  -0.07331466],1,[-2.536279   3.1866353],0,0,[0.00325951 0.99674049]
[0.77853465 0.04553135],1,[-2.996845   3.9805796],0,0,[0.00093183 0.99906817]
[0.80805826 0.25593728],1,[-2.4503093  3.6109042],0,0,[0.00232615 0.99767385]
[0.5621826 0.5219562],1,[-0.6167755  1.6542056],0,0,[0.09355498 0.90644502]
[ 0.02243973 -0.12697482],0,[-0.49223018  0.43479204],0,0,[0.28352923 0.71647077]
[ 0.24033286 -0.18848372],0,[-1.5658803  1.7341096],0,0,[0.03557154 0.96442846]
[ 0.65901387 -0.13225621],1,[-3.0771074  3.795598 ],0,0,[0.0010346 0.9989654]
[ 0.79242694 -0.37697425],0,[-4.3895392  5.107733 ],0,0,[0.00007505 0.99992495]
[ 0.90134656 -0.2165383 ],1,[-4.3214016  5.280255 ],0,0,[0.00006761 0.99993239]
[ 0.9359652  -0.01773801],1,[-3.8321369  4.966327 ],0,0,[0.00015094 0.99984906]
[0.9268598  0.23917763],1,[-2.9826186  4.277473 ],0,0,[0.00070255 0.99929745]
[ 0.87713915 -0.444204  ],0,[-4.9439883  5.720948 ],0,0,[0.00002335 0.99997665]
[ 0.9311145  -0.25360733],1,[-4.5587683  5.5292816],0,0,[0.00004157 0.99995843]
[ 0.9651513  -0.47732383],0,[-5.4038396  6.2664185],0,1,[0.00000854 0.99999146]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.5711784  -0.07331466],1,[-2.536279   3.1866353],0,0,[0.00325951 0.99674049]
[ 0.712771  -0.3342938],0,[-3.9331536  4.5823545],0,0,[0.0002003 0.9997997]
[ 0.87267125 -0.19415185],1,[-4.134893   5.0736055],0,0,[0.00010017 0.99989983]
[ 0.93028724 -0.4590323 ],0,[-5.2053175  6.0374393],0,0,[0.0000131 0.9999869]
[ 0.9506336 -0.2560389],1,[-4.6452084  5.6379952],0,0,[0.0000342 0.9999658]
[ 0.9603319  -0.04444264],1,[-4.014924   5.1610923],0,0,[0.00010348 0.99989652]
[ 0.9763202 -0.4952033],0,[-5.5054626  6.3697605],0,0,[0.00000696 0.99999304]
[ 0.96920747 -0.27402648],1,[-4.7770476  5.7805486],0,0,[0.00002599 0.99997401]
[ 0.98716635 -0.48888803],0,[-5.5292406  6.411042 ],0,0,[0.00000652 0.99999348]
[ 0.9748104  -0.26663157],1,[-4.7762575  5.7915645],0,0,[0.00002573 0.99997427]
[ 0.99059516 -0.49141675],0,[-5.551074  6.435383],0,0,[0.00000623 0.99999377]
[ 0.99123085 -0.47116345],0,[-5.4895644  6.3881965],0,0,[0.00000694 0.99999306]
[ 0.9776041 -0.2505983],1,[-4.736805  5.766255],0,0,[0.00002745 0.99997255]
[ 0.99237436 -0.49369615],0,[-5.565463  6.450426],0,1,[0.00000605 0.99999395]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.34561756 -0.21056522],0,[-2.0604942  2.3428736],0,0,[0.01208815 0.98791185]
[ 0.71620095 -0.14061749],1,[-3.3342729  4.1171947],0,0,[0.00058025 0.99941975]
[0.8564226  0.00755005],1,[-3.4312315  4.4849367],0,0,[0.00036466 0.99963534]
[0.86977065 0.23831674],1,[-2.755024  3.979399],0,0,[0.00118785 0.99881215]
[0.6631963 0.5243609],1,[-1.0166935  2.1794193],0,0,[0.03931227 0.96068773]
[-0.2120812   0.74520177],1,[ 3.2131476 -2.9744778],0,0,[0.99794951 0.00205049]
[-0.6442237  0.5030308],0,[ 4.1904287 -4.642853 ],0,0,[0.99985422 0.00014578]
[-0.77009463  0.479882  ],1,[ 4.625004  -5.2470326],0,0,[0.99994841 0.00005159]
[-0.83143044  0.47446913],1,[ 4.85533   -5.5560822],0,0,[0.99996991 0.00003009]
[-0.8605131   0.47275677],1,[ 4.9672427 -5.7047505],0,0,[0.99997682 0.00002318]
[-0.8758153   0.47337857],1,[ 5.0309443 -5.786773 ],0,0,[0.99997996 0.00002004]
[-0.88452274  0.47514316],1,[ 5.071656  -5.8369665],0,0,[0.9999817 0.0000183]
[-0.8898142   0.47748607],1,[ 5.1004157 -5.870639 ],0,0,[0.99998281 0.00001719]
[-0.9569292   0.43813854],0,[ 5.2467012 -6.1254177],0,1,[0.99998849 0.00001151]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.34561756 -0.21056522],0,[-2.0604942  2.3428736],0,0,[0.01208815 0.98791185]
[ 0.563428  -0.2945517],0,[-3.2049212  3.6978347],0,0,[0.001004 0.998996]
[ 0.734821   -0.36572182],0,[-4.1215377  4.77672  ],0,0,[0.00013661 0.99986339]
[ 0.84607404 -0.41445392],0,[-4.7245426  5.48336  ],0,0,[0.00003688 0.99996312]
[ 0.9107946 -0.4420853],0,[-5.073064   5.8926506],0,0,[0.00001728 0.99998272]
[ 0.9434725  -0.24789028],1,[-4.5905385  5.5800066],0,0,[0.00003828 0.99996172]
[ 0.95642304 -0.03787699],1,[-3.9783833  5.1241555],0,0,[0.00011137 0.99988863]
[0.94703335 0.22251563],1,[-3.1167183  4.425132 ],0,0,[0.00053013 0.99946987]
[0.8079092  0.53516656],1,[-1.5663325  2.9134793],0,0,[0.01120849 0.98879151]
[-0.12432031  0.78562754],1,[ 2.9869807 -2.6138158],0,0,[0.99631868 0.00368132]
[-0.6133345   0.52093685],0,[ 4.1224585 -4.5250854],0,0,[0.99982447 0.00017553]
[-0.7637446  0.4988513],1,[ 4.659397  -5.2609644],0,0,[0.99995084 0.00004916]
[-0.8311637   0.49210393],1,[ 4.9100437 -5.5986757],0,0,[0.9999727 0.0000273]
[-0.86182517  0.48992172],1,[ 5.0268397 -5.7544746],0,1,[0.99997922 0.00002078]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[ 0.48824212 -0.23060523],0,[-2.699292   3.1429076],0,0,[0.00289405 0.99710595]
[ 0.6760365 -0.3326803],0,[-3.779849   4.3851485],0,0,[0.00028436 0.99971564]
